doc_id,x_tsne,y_tsne,Topic
1,33.970207,22.309834,-1
2,37.775143,11.721351,0
3,-2.0952544,-30.915495,0
4,-25.401512,30.416996,0
5,1.1841561,26.095615,0
6,-38.152523,-13.65038,0
7,24.833666,25.742065,0
8,30.814991,-9.079635,-1
9,-24.12411,25.280867,0
10,1.3230534,27.114004,0
11,17.035929,-41.622227,0
12,-21.107647,80.10431,1
13,-25.853409,-33.865425,0
14,-18.511694,81.3553,1
15,-25.290983,-34.090046,-1
16,51.24413,15.459236,0
17,-0.84335375,-67.619194,0
18,40.103848,2.0066915,-1
19,-7.059811,-23.341774,-1
20,19.707727,-41.573288,0
21,19.184452,-60.137596,0
22,-14.692336,37.053505,0
23,-16.140022,36.564922,0
24,-21.498676,33.016087,0
25,-19.401941,38.597122,0
26,-20.08308,36.612774,0
27,36.359818,30.137867,-1
28,35.88099,31.803482,-1
29,-15.370291,34.98574,0
30,36.93834,31.728928,-1
31,-16.893766,36.725075,0
32,-33.14582,33.643276,-1
33,30.831043,14.720229,-1
34,-19.18322,34.955383,0
35,36.021896,8.036284,0
36,-17.271772,35.05808,-1
37,-18.49817,40.55053,0
38,37.623283,-0.8956841,0
39,-18.262875,33.453754,0
40,-17.622942,37.44533,0
41,-20.23851,39.236626,0
42,-18.297615,36.22543,0
43,13.392559,12.823979,0
44,-26.215883,53.065773,1
45,-17.153824,33.265488,0
46,14.365586,12.430223,0
47,-16.291576,31.627981,0
48,51.153843,14.743366,0
49,-8.65305,30.333933,-1
50,14.85649,12.266765,-1
51,12.836927,-48.517036,0
52,24.320633,-46.09088,0
53,-19.31295,30.176296,0
54,-19.019228,29.754814,0
55,-19.191225,28.536818,0
56,-13.536682,31.115864,0
57,29.77343,14.014175,0
58,-14.186231,32.872334,-1
59,-16.465912,39.554893,0
60,-17.359718,39.15906,0
61,-19.560915,58.508717,-1
62,-24.501978,27.069685,0
63,6.5449495,-50.029556,0
64,28.02116,-64.83821,0
65,34.602463,-5.5084276,0
66,-2.381249,-70.84926,0
67,5.215738,-50.39502,0
68,4.3992143,-44.05273,-1
69,24.706013,-47.34247,0
70,28.807085,-65.24652,0
71,10.078416,-59.668495,0
72,26.082853,-45.91548,0
73,17.924847,-62.8187,0
74,26.471733,-46.77626,0
75,-5.471856,-22.404177,-1
76,37.79546,32.15025,-1
77,15.986118,34.624886,0
78,-14.950473,-27.843363,0
79,-6.411547,95.05515,2
80,-14.759018,-27.353394,0
81,-2.980364,-59.961758,3
82,25.748323,-46.964916,0
83,16.010408,-38.83958,0
84,15.3795,-72.160614,-1
85,-22.81822,-8.401341,0
86,21.70376,32.585823,0
87,-37.26764,-13.909566,0
88,-0.19675677,-34.786213,-1
89,23.373648,-47.907642,0
90,-22.516191,-8.776462,0
91,-36.73484,-14.656623,0
92,-5.9258375,-59.0222,0
93,21.128944,73.55337,-1
94,28.699856,-47.222836,0
95,-4.558146,27.566128,0
96,-13.508371,42.494865,1
97,-4.9593525,26.740263,-1
98,-0.63837105,27.369425,0
99,-12.422638,-40.914425,0
100,-18.379887,18.392775,-1
101,-18.755411,18.150324,-1
102,5.2088356,10.804437,0
103,-5.8128343,-75.201614,0
104,9.370205,-31.225992,0
105,16.231476,-62.711548,0
106,-20.8179,25.696356,-1
107,14.268184,-83.21498,3
108,-13.629548,-39.791313,0
109,-4.2465916,-32.7554,0
110,13.656689,-39.0616,0
111,-6.0974517,31.201296,-1
112,5.506278,12.16817,0
113,6.1118007,11.2138815,0
114,35.136017,14.649362,0
115,25.793724,3.3387895,0
116,26.130596,-48.274307,0
117,-5.4846716,-40.62824,0
118,20.437096,-42.65007,0
119,14.464375,-34.573513,0
120,20.551365,-43.6153,0
121,-4.1263785,-75.42466,0
122,-7.4796505,-16.297228,-1
123,-5.0499783,-31.41381,0
124,7.1093287,-26.876093,0
125,-22.132154,-20.414576,0
126,8.254961,14.258304,0
127,15.894278,-46.102303,0
128,10.316994,-65.86706,-1
129,2.400145,-65.62811,0
130,2.0631025,-23.6273,-1
131,-21.99546,-17.015865,0
132,-21.977196,-18.454592,0
133,-21.43614,-18.68155,0
134,-14.0487585,-0.52948225,0
135,-3.942775,-36.028904,0
136,-17.257269,-8.521993,0
137,7.432568,10.774121,0
138,-21.935125,30.777178,0
139,-29.754427,-18.29099,0
140,-8.136501,-17.193005,-1
141,-25.563042,-2.497609,-1
142,14.520858,-49.93462,0
143,34.643925,8.332607,0
144,13.207997,-39.170128,0
145,-16.394417,-32.617542,-1
146,-30.65792,-19.74523,0
147,10.100028,-38.739292,0
148,33.43671,8.151457,0
149,15.63364,-42.116886,0
150,10.230478,15.307143,-1
151,-5.19175,-4.1271496,0
152,-8.940567,-1.8632109,0
153,9.0173235,-42.971016,0
154,-21.893623,-22.657915,0
155,-6.4424405,-1.6300337,0
156,-8.107937,-68.27531,0
157,-4.592423,-3.9030416,0
158,-34.480682,-6.2268887,4
159,23.371954,-27.118334,0
160,25.7376,-59.958405,-1
161,-5.241778,-41.841503,0
162,-9.845102,-0.31460002,1
163,11.333973,-41.932526,0
164,13.182845,-30.605722,0
165,2.8551054,14.154877,0
166,2.3720806,14.516212,-1
167,4.0094256,-28.78147,0
168,15.374015,-38.981144,0
169,-14.651649,-40.65712,0
170,-17.969503,-41.160137,0
171,-14.800555,-47.88378,0
172,-23.915014,3.2244077,-1
173,-16.734755,-38.874733,0
174,0.70659065,-40.927505,0
175,16.228798,-43.84653,0
176,-15.868013,-35.805824,0
177,-4.548658,3.7309506,0
178,-18.986877,-41.243465,0
179,-16.595297,-40.895565,0
180,28.643171,4.722833,0
181,-8.431139,-3.423623,0
182,8.769799,-28.535572,0
183,-29.265436,-21.873413,0
184,-44.91714,32.195736,-1
185,-11.2160425,-42.798164,0
186,13.003461,-30.14144,0
187,-12.845283,-44.058266,0
188,-3.3706036,-31.810637,0
189,-15.274158,-39.94128,0
190,-31.629099,-41.37575,-1
191,14.19264,0.39636505,0
192,9.658358,-32.36902,0
193,-26.709276,39.68847,1
194,24.481655,75.16152,-1
195,-5.6096478,-32.755062,0
196,-3.9241347,55.61912,1
197,-16.418194,-45.907383,0
198,-20.920351,-46.957417,0
199,17.87753,7.0464125,-1
200,-1.3398262,-22.40271,-1
201,-6.395656,-71.66941,0
202,-20.593655,2.5468035,-1
203,8.688648,-36.195656,0
204,-5.4368215,-35.020298,0
205,-27.401562,-6.820518,-1
206,13.241326,-46.23613,0
207,17.18302,-48.458866,0
208,17.33863,-48.545914,0
209,-5.696502,-75.88712,0
210,-31.516943,39.154053,-1
211,-11.160528,34.267994,-1
212,8.073488,-43.91222,0
213,25.305645,-41.781612,0
214,8.552644,-44.17746,0
215,22.85638,-40.561607,0
216,10.244349,-44.176105,0
217,-20.989376,81.51656,1
218,-5.76217,-32.35015,0
219,20.922136,-36.839954,0
220,26.634598,-39.490166,0
221,22.096577,-34.907036,0
222,27.586323,-37.00934,0
223,26.686523,-33.69602,0
224,24.787344,-35.56963,0
225,-3.4689636,-71.490166,0
226,30.979916,-38.160877,0
227,26.164494,-37.25426,0
228,13.437328,-43.355446,0
229,24.614918,-37.084347,0
230,26.012335,-38.568707,0
231,25.71274,-34.713566,0
232,6.475398,-34.475483,0
233,27.621834,-38.733875,0
234,23.10029,-36.979034,0
235,23.733736,-35.923317,0
236,25.205992,-33.437794,0
237,28.526562,-36.05868,0
238,28.328289,-34.267426,0
239,24.767563,-38.221626,0
240,26.268297,-35.55215,0
241,28.50292,-37.76413,0
242,24.134573,-34.559704,0
243,21.158604,-38.908672,-1
244,24.234129,-39.449337,0
245,12.126555,-42.49122,0
246,24.878372,-39.7579,0
247,27.531603,-35.438694,0
248,7.4838643,-35.613804,0
249,25.563519,-36.262108,0
250,8.950661,-40.37457,0
251,13.209271,-42.13127,0
252,-17.811356,-45.91462,0
253,11.874817,-35.970963,-1
254,-5.5201325,-68.03636,0
255,28.487873,4.0677505,0
256,-5.394518,44.139053,1
257,-5.7593546,2.1908298,0
258,-13.036096,-11.7645855,0
259,-12.922434,-11.247483,0
260,3.5562634,23.009861,0
261,-33.09711,-26.25117,0
262,-26.178171,17.889816,0
263,1.1521106,-41.296593,0
264,-13.366991,2.4013221,0
265,-34.245045,-7.810885,4
266,-19.349123,43.872635,1
267,4.0821567,-75.43647,3
268,-14.0183325,49.84621,1
269,-14.385102,47.31988,1
270,5.229704,24.424156,0
271,5.593435,24.449633,0
272,-16.08812,50.486668,1
273,-17.162569,49.979763,1
274,-8.529531,49.094234,-1
275,-16.110321,48.466827,1
276,1.0348698,-88.76911,3
277,-6.648719,-28.637184,0
278,-23.961004,-31.261827,0
279,2.2743661,-24.439896,-1
280,-7.016803,-32.386517,0
281,-23.171967,34.834003,0
282,-12.599855,8.521547,0
283,-20.5704,44.790936,1
284,-9.104106,-32.203056,0
285,3.7643263,19.87904,0
286,-8.99288,-34.959286,0
287,-7.8582106,-6.034296,0
288,-6.2072396,-73.87149,0
289,-12.318954,-33.233868,0
290,-18.761978,5.4843197,0
291,-15.861854,3.722234,0
292,6.8430743,-32.80525,0
293,-6.0455375,-7.561878,0
294,8.253822,-30.929428,0
295,13.008706,19.784903,-1
296,-15.921315,-17.966433,0
297,-15.000653,-2.164136,0
298,6.644611,-10.911029,0
299,-6.8077908,-6.7405877,0
300,-6.6873035,-30.968176,0
301,-10.120873,-2.8157358,0
302,-32.789257,-20.090603,0
303,-16.964167,-4.4338303,0
304,-7.8793654,-30.881227,0
305,-33.756107,-18.143826,0
306,-16.928783,-3.0536106,0
307,-0.541288,-76.15559,0
308,-1.7020001,19.113722,0
309,51.48289,-59.102142,2
310,-7.832207,-70.302826,0
311,-37.678898,19.986092,0
312,-6.6730685,3.605515,0
313,-15.619431,19.173172,-1
314,-0.024452511,-75.359726,0
315,-16.141548,0.44039434,0
316,-26.073883,-1.0538632,0
317,23.153692,77.24594,-1
318,-2.0030372,-76.47314,0
319,-6.362277,3.1840365,0
320,-15.168878,-21.653648,0
321,-5.302672,-29.948889,0
322,-14.323408,48.84705,1
323,-15.723864,47.63388,1
324,-17.180624,48.925114,1
325,-15.238364,51.179142,1
326,-16.882494,51.370174,1
327,-12.0715885,-12.397901,0
328,10.838365,-27.3446,0
329,-5.9605355,-83.09679,0
330,-15.836518,45.138386,1
331,-13.185011,35.19299,-1
332,35.139076,15.112197,0
333,8.980172,-0.3722426,0
334,9.364391,0.045139946,-1
335,-19.140318,5.996953,-1
336,-26.029001,5.4013877,0
337,-25.411371,5.0502167,0
338,11.389462,-25.718225,0
339,-16.67826,-2.6021495,0
340,43.392593,3.3313682,0
341,17.299662,-20.04122,0
342,-1.143237,-78.14408,0
343,12.774988,-22.29473,0
344,14.613302,-23.766222,0
345,-24.504902,3.9196973,0
346,13.007969,-23.364994,0
347,-1.0634367,-17.83858,-1
348,12.338431,-24.969606,0
349,-7.738027,-69.669846,0
350,-7.9366384,43.09533,1
351,48.497997,-58.344658,2
352,-28.350761,-27.965,0
353,20.073624,20.961681,0
354,18.441961,24.53472,0
355,24.843811,27.65166,0
356,-20.831627,-25.271688,0
357,-22.42307,-27.69109,-1
358,-33.799423,-18.841072,0
359,-4.9722686,43.5923,1
360,-6.4085016,7.401326,0
361,-16.787882,-44.47032,0
362,-24.139606,33.700733,0
363,-15.565787,49.719345,1
364,-17.501438,52.19556,1
365,-14.035963,45.322857,1
366,-19.007795,48.56785,1
367,-12.437894,49.000134,1
368,-19.735222,45.087093,1
369,19.337107,75.85391,-1
370,21.783144,-102.490746,7
371,9.829055,-26.30513,0
372,-7.404704,19.371208,0
373,17.46328,37.070755,0
374,9.564138,-23.427431,-1
375,-26.712545,-26.387543,0
376,12.8081045,19.113058,-1
377,-18.031265,-0.27174205,0
378,-17.502874,-2.3242204,0
379,-28.025394,-18.692476,0
380,-9.172489,5.314655,0
381,40.343998,12.495349,0
382,-3.2327363,-69.45312,0
383,-10.322246,3.1781855,0
384,-4.1756816,-29.122177,0
385,48.967712,-57.58157,2
386,49.763638,-57.86233,2
387,-15.413331,5.1909103,0
388,-0.8667025,-82.250984,-1
389,-21.887026,0.7604902,-1
390,-3.9081683,-82.49578,0
391,-4.981827,-84.236206,0
392,-37.0906,8.673239,0
393,-7.980587,-73.08198,0
394,6.0419655,26.998005,0
395,13.422764,-24.178394,0
396,6.3897834,-30.634478,0
397,0.65555805,-78.26813,0
398,-20.140951,81.21309,1
399,-26.50939,18.458303,0
400,-52.876083,4.678272,-1
401,-8.77458,-71.31135,0
402,38.723045,4.979788,0
403,-2.2718232,-66.94152,0
404,-24.07945,34.15048,0
405,-18.503735,47.482555,1
406,-20.438107,44.03144,1
407,-17.71125,46.04558,1
408,10.167575,-25.683825,0
409,21.048355,20.464523,0
410,31.681543,26.39788,0
411,-20.586945,82.469765,1
412,6.767239,28.225931,0
413,0.1960467,-88.97805,3
414,-25.660643,-25.6419,0
415,51.626972,9.215038,0
416,22.963001,76.0,-1
417,12.923371,18.314608,-1
418,0.16651109,-12.354133,0
419,6.5311227,12.653132,0
420,-35.135094,-19.536028,0
421,40.066254,12.788761,0
422,-3.6605818,-80.646255,0
423,-28.801537,-30.490227,2
424,-2.367286,-80.533356,0
425,-40.82709,1.7481829,0
426,17.527431,33.20627,0
427,-19.940067,-6.491861,-1
428,17.660418,17.942003,0
429,22.766136,11.494851,-1
430,-36.779335,8.448026,0
431,37.94008,7.763462,-1
432,-16.332308,1.9666436,0
433,18.655735,18.3943,0
434,-19.893688,-25.435177,0
435,17.641613,24.226068,0
436,14.668005,27.019985,0
437,24.313622,27.387598,0
438,-25.581646,9.538521,0
439,-4.5319247,-66.83869,0
440,42.769478,4.4752903,0
441,15.154533,30.692766,0
442,-26.749283,9.223522,0
443,-27.761894,9.070983,-1
444,41.79759,4.121258,0
445,-16.30429,-24.053667,0
446,-55.208496,-3.5939806,-1
447,10.243569,26.584665,0
448,22.789576,19.241198,0
449,18.96438,15.570308,0
450,3.0560849,18.293314,0
451,4.4873285,22.76675,0
452,-19.70969,-20.254744,0
453,14.091401,18.266525,-1
454,-5.1121264,-70.59623,0
455,-9.913642,-80.67299,0
456,-9.795794,-79.36894,0
457,-10.134144,-79.63517,0
458,-47.189156,-3.3164043,0
459,34.22958,11.417901,0
460,18.379992,30.947046,0
461,-27.408958,40.64627,1
462,-18.0374,-26.845457,0
463,6.8880982,20.481846,0
464,-1.0603117,-10.653008,0
465,5.4092865,33.87957,0
466,7.108891,21.902872,0
467,-1.6779166,2.1062129,-1
468,-9.568691,7.4281445,0
469,-10.758801,5.1899066,0
470,17.947342,9.27695,-1
471,-14.026824,7.2716517,0
472,-6.7666526,6.643423,0
473,50.750965,10.480568,0
474,0.33309817,-69.2036,0
475,-15.915123,-69.08723,0
476,7.0874224,-37.475536,-1
477,-7.3539143,-74.69847,0
478,24.72327,20.545782,0
479,34.32321,13.423493,0
480,8.124152,23.556128,0
481,32.176163,26.383314,-1
482,3.7834744,19.411276,0
483,3.9288805,21.185024,0
484,0.56056255,22.569359,0
485,-23.329779,32.974346,0
486,-14.02881,-18.367958,-1
487,-7.1055956,21.753084,-1
488,-10.085452,19.665768,0
489,-15.082864,-4.008944,0
490,5.5643063,14.136935,0
491,14.131241,19.173334,-1
492,-7.821043,20.533535,0
493,2.0059109,20.529764,0
494,39.358307,12.012301,0
495,37.076027,0.09850966,0
496,-7.9329004,40.680264,1
497,-4.817821,-73.44787,0
498,0.35233065,9.818468,-1
499,-1.0237194,-18.280762,-1
500,-7.970395,-34.280342,0
501,-8.023463,-76.656334,0
502,-20.706316,-12.205177,0
503,19.326279,20.101618,0
504,18.447897,25.309011,0
505,-18.724642,-25.704891,0
506,17.968235,9.578582,0
507,3.2039518,-71.29459,0
508,3.3000078,-71.34107,0
509,-55.11798,-3.053724,-1
510,5.4922433,33.88431,0
511,7.061793,-21.377073,-1
512,6.5862517,-20.159798,-1
513,7.1620445,-22.194593,0
514,-3.5049093,-79.18404,0
515,-1.5212934,-79.35046,0
516,25.465715,-4.6320877,-1
517,-15.188162,8.856478,0
518,-13.461564,14.047257,-1
519,-13.167124,-7.280376,-1
520,-40.561794,-2.3992836,-1
521,-2.0131152,-73.96953,0
522,6.817564,-18.87321,-1
523,-17.754072,24.638372,1
524,-4.964733,51.396397,1
525,2.6492815,4.071032,-1
526,-33.020195,-27.686285,0
527,1.8325334,-14.782227,0
528,-0.13011356,-73.44057,0
529,0.5297175,-74.526405,0
530,4.5933237,30.103014,0
531,24.0919,14.684112,-1
532,-10.018628,43.150066,1
533,-5.3969727,-0.38669148,0
534,4.4210424,27.965206,0
535,-3.024649,-35.230232,0
536,-2.052947,21.536335,-1
537,22.496187,7.276255,0
538,-0.6770551,30.992657,0
539,3.4839385,4.96223,0
540,-29.346771,-18.3273,0
541,-7.0253015,-1.961574,0
542,-20.08598,-15.4510565,0
543,-25.053082,-4.028693,0
544,-4.4434566,-18.381552,0
545,-37.558636,15.506125,0
546,-0.43869516,30.811989,0
547,6.264806,7.716335,0
548,-2.1229491,-34.73323,0
549,-38.307808,-16.817823,0
550,-26.844023,17.601082,0
551,-31.354223,-17.656376,0
552,1.4977632,29.498497,0
553,-6.4679327,-33.511906,0
554,3.2993023,7.042799,0
555,-2.193912,-34.098354,0
556,-9.650006,-9.901479,-1
557,-4.308769,8.252401,0
558,-17.740091,-21.116995,0
559,-5.823797,-79.77696,0
560,-7.4153237,-78.0631,0
561,-6.0375175,-79.03219,0
562,3.3622694,-12.482961,0
563,-11.5965395,7.3073783,0
564,0.60982865,-10.024401,0
565,-19.005533,-14.598273,-1
566,-23.35309,-14.572446,0
567,24.487226,17.35493,0
568,42.64321,2.9546225,0
569,4.6651444,-0.9596226,-1
570,-13.624092,4.126022,0
571,31.578777,-70.94995,0
572,24.955215,13.823209,-1
573,2.2039149,2.5385647,-1
574,24.516993,15.678851,-1
575,-7.9537554,-63.76505,0
576,-18.10285,2.3006132,0
577,-9.98461,-17.990534,-1
578,-19.949554,-30.941584,0
579,-17.569456,-68.17523,0
580,31.686052,2.7903867,0
581,-16.980133,-5.7971177,0
582,-10.010385,-19.37435,-1
583,-10.792456,-21.860563,-1
584,-11.759325,-18.180946,-1
585,-18.157621,-13.088653,0
586,-13.562999,-20.255938,0
587,-17.249031,-13.910485,0
588,3.55147,-18.807108,-1
589,-39.29393,-19.358376,0
590,-9.052306,-20.081024,-1
591,-38.93842,-18.848026,0
592,-17.458004,-17.39466,0
593,-26.718103,-30.824665,-1
594,-15.9246435,-69.9667,0
595,-17.99188,60.67117,1
596,-25.506618,-21.961899,0
597,2.8340008,10.076567,-1
598,-4.630255,-19.369946,0
599,5.8094864,-18.042496,-1
600,-9.268296,-29.401308,0
601,-16.794134,-30.319365,0
602,-15.686451,28.216473,-1
603,7.2408004,-17.083395,-1
604,-15.16359,28.045084,-1
605,-42.181156,4.5626326,0
606,-12.418632,-16.104158,-1
607,-16.65696,-69.64107,0
608,-17.23612,-20.029291,0
609,-20.11326,10.2624655,0
610,-32.65247,-13.060646,0
611,-23.032629,-30.596533,0
612,-32.742973,-13.125004,0
613,-10.655624,-20.13933,-1
614,-15.663802,-20.42211,0
615,-7.5130873,39.640385,1
616,-18.84811,-3.1442184,0
617,4.3143973,-33.198425,-1
618,-7.75203,48.901287,-1
619,-41.187637,-20.276735,-1
620,-29.543406,-20.939322,0
621,-14.006754,-29.856897,0
622,-20.29562,12.216805,-1
623,-25.421162,33.759224,0
624,-54.22486,4.6263576,-1
625,0.78963614,6.2718673,0
626,-14.3714075,-12.739138,-1
627,-26.54736,27.186834,0
628,44.588295,2.9891615,0
629,-25.401192,30.419197,0
630,-3.58476,-15.166748,-1
631,-22.739674,23.212349,0
632,-3.5722895,-14.066159,0
